Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 251 y 500;Multinacional;50;consultor jr;Full time;Payroll / Liquidación de sueldos;0;0;0;48200;Medicina prepaga / Plan de salud, Tarjeta de descuento, Gimnasio, Frutas y snacks, Idiomas;No recibo bono;1 solo;17;Abril;No;Microsoft Dynamics;Recursos Humanos;Si, está permitido;Si;60%;250;5;No estoy buscando cambiar;asi estoy bien ;personas;que soy yo ;Si;Computadora / Laptop, y celular;5;;;;;;;;;;;;;;;
Masculino;Si;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Bolivia;;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contractor;6;Casa;Si;Transferencia a tu cuenta;No;Si;No;;;;;;Diseño organizacional;225. 
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 1.001 y 2.500;Nacional;7;Analista;Full time;Reclutamiento y selección;0;3;3;60900;Medicina prepaga / Plan de salud, Comedor / Almuerzos;No recibo bono;No tuve ajustes;30;Octubre;Si, en emprendimiento no relacionado con RRHH;Meta4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Hasta 51;Nacional;2;Analista;Part time;Administración de personal;0;9;6;30000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;13;Marzo;No;Meta4;Recursos Humanos;Si, está permitido;No;0%;100;1;No,  pero escucho ofertas;Prepaga y descuentos en servicio de Internet domestico;Calidad de trabajo;;Si;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Comercio;Entre 251 y 500;Nacional;4;Analista;Full time;Generalista;0;6;11;110.000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Préstamos, Comedor / Almuerzos;Menos de un sueldo;1 solo;20;Septiembre;Si, en emprendimiento relacionado con RRHH;Tango;Capital Humano;Si, está permitido;No;;3674;3;Sí, activamente;Trabajar de Lunes a Viernes ya que trabajo todos los sábados y domingo por medio. Desarrollarme profesionalmente ya que la empresa en donde estoy no me lo permite porque es familiar.;Valor;No recuerdo;No;No estoy trabajando en home office;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario abandonado;Psicología;Universidad Pública;Argentina;Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;4;Cowork;No;PayPal;No;No;Si;No;Si;1.5;Remuneración mensual del ingresante;1 mes;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 101 y 250;Nacional;3;Gerente;Full time;Generalista;6;0;8;110500;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;.0;Enero;No;Tango;Recursos Humanos;Si, está permitido;No;0%;2400;1;Sí, activamente;Ambiente Laboral Positivo / Bono de Fin de año / Incrementos acorde al Desempeño y objetivos / Beneficios de movilidad y traslado / etc;Engagement;Si pensaba embarazarme o casarme pronto. ;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Lic. RRPP;Universidad Privada;Argentina;Entre Ríos;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Multinacional;3;specialist;Full time;Capacitación y desarrollo;0;5;3;85400;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Frutas y snacks, Idiomas, Comedor / Almuerzos;No recibo bono;3 o más ajustes;9;Agosto;No;Oracle HCM;people development;Si, está permitido;Si;50%;187;3;Sí, activamente;;;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Masculino;Si;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 1.001 y 2.500;Multinacional;100;Administrativo;Full time;Reclutamiento y selección;0;0;0;25000;Medicina prepaga / Plan de salud, Horarios flexibles, Préstamos, Idiomas, Home office;No recibo bono;No tuve ajustes;0;;No;Enlatado propio;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;1;Responsable;Full time;Administración de personal;0;3;3;82000;Horarios flexibles, Frutas y snacks;No recibo bono;1 solo;40;Septiembre;Si, en emprendimiento no relacionado con RRHH;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 101 y 250;Multinacional;3;Pasante;Pasante;Generalista;0;1;1;19500;Medicina prepaga / Plan de salud, Frutas y snacks, Idiomas;No recibo bono;1 solo;15;Marzo;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;130;4;Sí, activamente;Flexibilidad de horarios;Soporte;Qué diría mi mejor amigue de mí ;Si;Computadora / Laptop;5;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;No;ninguno;No;Si;Si;Si;Si;5;Remuneración mensual del ingresante;3 meses;;
Femenino;Prefiero no responder;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 251 y 500;Nacional;3;Administrativo;Full time;Generalista;0;3;5;49766;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;20;Marzo;No;Meta4;Recursos Humanos;Si, está permitido;No;0%;3;1;No,  pero escucho ofertas;;;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;1;Analista;Full time;Generalista;0;5;5;61000;Abono de celular;Menos de un sueldo;1 solo;10;Febrero;No;Tango;Recursos Humanos;No, está prohibido;No;0%;384;3;No estoy buscando cambiar;Vacaciones extendidas y gimnasio;Medio;Me podrías contar brevemente de qué trata tu película favorita (Orgullo y prejuicio).;Si;No me enviaron ni reintegraron nada, La actividad de la organización es entretenimientos y dado que no tiene ingresos desde que fue declarada la pandemia y se maneja con reservas, se decidió, al menos por el momento, no hacer reintegros y tampoco destinar dinero a la asistencia de ese tipo de elementos cuando confirmamos que los trabajadores ya contaban con los mismos. ;1;;;;;;;;;;;;;;;
Masculino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 251 y 500;Nacional;5;Responsable;Full time;Payroll / Liquidación de sueldos;1;8;15;100.000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Frutas y snacks, Préstamos, Home office, Comedor / Almuerzos;Un sueldo;No tuve ajustes;0;;Si, en emprendimiento no relacionado con RRHH;RH Pro;Recursos Humanos;Si, está permitido;No;0%;1000;4;No,  pero escucho ofertas;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;Hasta 51;Nacional;0;Administrativo;Full time;No trabajo en el area;0;9;0;52980;No tengo beneficios adicionales;No recibo bono;1 solo;12;Septiembre;No;No tenemos sistema de gestión;no tenemos Area;Si, está permitido;No;0%;97;1;No,  pero escucho ofertas;horario flexible, comedor en planta, descuentos para gimnasios;Acompañamiento;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Hasta 51;Multinacional;1;Responsable;Full time;Generalista;0;3;3;79000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Frutas y snacks, Home office;No recibo bono;2 ajustes;30;Agosto;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;20%;500;4;No estoy buscando cambiar;;Empatía ;;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;Prefiero no responder;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Todavia no me he registrado;1;Casa;No;No recibo pagos del exterior;Si, eventualmente;Si;No;;;;;;Capacitación;700
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 101 y 250;Nacional;3;Responsable;Full time;Relaciones laborales;0;3;8;80000;Préstamos, Comedor / Almuerzos;No recibo bono;3 o más ajustes;50;Septiembre;Si, en emprendimiento no relacionado con RRHH;Bejerman;Recursos Humanos;No, está prohibido;No;0%;1300;4;No,  pero escucho ofertas;Días free, home office regular (post pandemia), descuentos varios;Interacción;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Pública;Bolivia;;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 1.001 y 2.500;Nacional;11;Gerente;Full time;Generalista;11;0;6;17000;Tarjeta de descuento;Menos de un sueldo;1 solo;0;Enero;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;20%;8000;4;No,  pero escucho ofertas;Un bono y estudios;Pasión;Debilidades;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 5.001 y 10.000;Nacional;60;Analista;Full time;People Analytics;0;3;8;69000;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Home office;No recibo bono;1 solo;15;Agosto;No;SAP / SuccessFactors;Capital Humano;Si, está permitido;No;0%;1100;3;No,  pero escucho ofertas;Pago de internet;Cambio;;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
No binario;Si;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;Sociología ;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;Si;Transferencia a tu cuenta;No;No;No;;;;;;Servicios sociales;1500
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 501 y 1.000;Nacional;6;Analista;Full time;Administración de personal;0;4;13;72000;Medicina prepaga / Plan de salud, Combustible, Comedor / Almuerzos;No recibo bono;1 solo;5;Marzo;No;RH Pro;Recursos Humanos;Si, está permitido;No;0%;1500;2;Sí, activamente;Bono y homeoffice;austera;Cómo te ves de acá a 5 ó 10 años;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;Contador Público;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Industrias químicas;Entre 501 y 1.000;Nacional;12;Jefe;Full time;Relaciones laborales;10;5;11;145.000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Combustible, Posgrados, Reintegros en capacitación, Home office, Comedor / Almuerzos;Un sueldo;1 solo;25;Octubre;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Recursos Humanos;Si, está permitido;No;;1200;4;No,  pero escucho ofertas;Mejor premio anual ;Transformación ;Preguntas de rutina cómo te ves en 5 años ? Etc ;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;4;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Comercio;Entre 251 y 500;Nacional;2;Jefe;Full time;Compensaciones y beneficios;1;2;10;80000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;30;Febrero;Si, en emprendimiento relacionado con RRHH;Tango;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;Contador Público;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Comercio;Entre 1.001 y 2.500;Nacional;16;Responsable;Full time;Capacitación y desarrollo;1;10;6;63500;Medicina prepaga / Plan de salud;No recibo bono;1 solo;13;Junio;No;Belgaum;Recursos Humanos;Si, está permitido;No;10%;140;3;No,  pero escucho ofertas;;Servicio ;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Servicios de consultoría;Entre 101 y 250;Multinacional;2;Administrativo;Part time;Generalista;0;4;12;20000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;11;Noviembre;Si, en emprendimiento no relacionado con RRHH;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0%;50;3;Sí, activamente;Un sueldo extra, home office, día de natalicio;Servicio;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;3;alquilaban oficina;No;Payoneer;No;Si;Si;Si;Si;30000;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Más de 10.000;Nacional;100;Analista;Full time;Payroll / Liquidación de sueldos;0;2;4;50000;Medicina prepaga / Plan de salud, Tarjeta de descuento;No recibo bono;No tuve ajustes;14;Septiembre;Si, en proyectos ad honorem;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;500;2;Sí, activamente;Clases de ingles, vacaciones extendidas, días de home office;Empatía;No recuerdo;Si;Silla ergonómica;1;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 51 y 100;Nacional;1;Supervisor;Full time;Generalista;0;10;10;80000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Enero;Si, en proyectos ad honorem;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 2.501 y 5.000;Multinacional;1000;Analista;Full time;Reclutamiento y selección;0;0;8;70000;Abono de celular, Home office;No recibo bono;No tuve ajustes;0;Septiembre;No;Enlatado propio;Talento Humano;Si, está permitido;Si;0%;2500;1;No,  pero escucho ofertas;Gimnasio Internet paga 1 Semana de vacaciones extra;Genial ;¿Por qué estas buscando un cambio? ( y que el entrevistador critique mi opinión ;Si;Computadora / Laptop, Celular en malas condicciones ;1;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;Obesidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;La Pampa;Relación de Dependencia;Servicios de salud;Entre 51 y 100;Nacional;1;Responsable;Full time;Generalista;0;2;17;86000;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;No tuve ajustes;25;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;500;3;No estoy buscando cambiar;;Mediador ;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;5;Asesoramiento;Full time;Generalista;0;1;16;55000;Permisos ;No recibo bono;1 solo;7;Septiembre;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0%;500;3;No estoy buscando cambiar;Digitalización trabajo remoto ;Pasion;No recuerdo;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Comercio;Entre 1.001 y 2.500;Nacional;13;Supervisor;Full time;Payroll / Liquidación de sueldos;0;5;15;70000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;20;Mayo;Si, en emprendimiento no relacionado con RRHH;Belgaum;Recursos Humanos;Si, está permitido;No;0%;80;2;No,  pero escucho ofertas;Flexibilidad horaria;;;No;;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;Entre 1.001 y 2.500;Nacional;7;Analista;Full time;Payroll / Liquidación de sueldos;0;1;10;41500;Medicina prepaga / Plan de salud;No recibo bono;1 solo;7;Febrero;No;Tango;Recursos Humanos;Si, está permitido;No;;75;3;No,  pero escucho ofertas;;Escucha;Ninguna;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;Auditiva;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;México;;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contractor;4;Casa;Si;Transferencia a tu cuenta;Si, eventualmente;Si;Si;No;No;500;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;Entre 2.501 y 5.000;Nacional;8;Responsable;Full time;Payroll / Liquidación de sueldos;2;3;15;55000;Medicina prepaga / Plan de salud, Préstamos, Home office;No recibo bono;1 solo;17;Febrero;Si, en emprendimiento no relacionado con RRHH;Tango;Loquidaciones;Si, está permitido;No;0%;30;5;No,  pero escucho ofertas;Vacaciones adicionales;Vocacion;Que haces en tus tiempos libres;Si;Computadora / Laptop;5;;;;;;;;;;;;;;;
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Petróleo y producción de gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;4;Responsable;Full time;Administración de personal;3;0;10;64000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;10%;600;4;No,  pero escucho ofertas;Descuentos;Desafio;Si pensaba casarme;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 51 y 55 años;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Construcción;Entre 251 y 500;Multinacional;4;Analista;Full time;Diseño organizacional;0;1;25;70000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;16;Marzo;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;840;3;Sí, activamente;Home Office;Vocación;;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Masculino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 51 y 100;Nacional;1;Responsable;Full time;Generalista;0;4;8;70000;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;1 solo;20;Julio;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;0%;1500;4;No,  pero escucho ofertas;Posgrados;Personas;;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Educación;Más de 10.000;Nacional;8;Aux;Plazo Fijo;Administración de personal;0;1212;9;96;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Seguro de vida (adicionales a los de ley);No recibo bono;No tuve ajustes;0;Enero;No;RH Pro;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;Si;Transferencia a tu cuenta;No;No;Si;No;No;1500;Remuneración mensual del ingresante;1 mes;;
Femenino;No;Entre 31 y 35;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Petróleo y producción de gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Petróleo y producción de gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
